id,Name of BC,Contact Number,Gender,Bank Name,State,District,Pincode
1,Shilpi Kumari,9421280154,female,Bank of Baroda,West Bengal,EAST MIDNAPORE,721624
2,Pinki Yadav,5276250918,female,South Indian Bank,Andhra Pradesh,Ananthapur,515004
3,Sudhindra Kumar Singh,9582105740,male,Bank of Maharashtra,Haryana,BHIWANI,127030
4,Avinash Kumar Pandey,6418505680,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632514
5,Vanshika Bhatnagar,4939491619,male,Central Bank of India,Haryana,SONIPAT,131029
6,Chetna Srivastava,7895011624,female,Nainital bank,Uttarakhand,PAURI GARHWAL,246125
7,Shweta Singh,6926640481,female,Indian Overseas Bank,Haryana,KARNAL,132040
8,Nidhi Verma,4211533257,male,Punjab and Sind Bank,Bihar,KISHANGANJ,855106
9,Chandan,2966061707,female,Punjab National Bank,Bihar,ARARIA,854333
10,Ajay Kumar Verma,5192040979,male,State Bank of India,Haryana,MAHENDRAGARH,123031
11,Vishwaksen Pandey,4190048937,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632515
12,Ritu Singh,2077708635,male,Union Bank of India,Bihar,PURNIA,854102
13,Reetika Khandelwal,1072787611,female,Axis Bank,Haryana,AMBALA,133102
14,Aakash A. Naidu,1405055697,male,Bandhan Bank,Bihar,MADHEPURA,852101
15,Ajay Anil Naidu,8669194547,female,CSB Bank,Uttar Pradesh,KAUSHAMBI,212207
16,Krashan Kant,3786595469,female,South Indian Bank,Kerala,THRISSUR,680553
17,Aman Kumar Soni,5930397517,female,DCB Bank,Haryana,HISAR,125037
18,Bharti Shankar Chotwani,8941714749,male,Dhanlaxmi Bank,Uttar Pradesh,SONBHADRA,231213
19,Archana Chhotelal Thakur,4082928352,female,Federal Bank,Bihar,BEGUSARAI,851130
20,Vishal Vikram Singh,9937895379,female,HDFC Bank,Bihar,DARBHANGA,847407
21,Pooja Choudhary,9754933753,male,ICICI Bank,Haryana,KARNAL,132046
22,Ramnarayan Patel,4481754076,female,IndusInd Bank,Bihar,KATIHAR,855102
23,Shambhu Kumar,3046939930,female,IDFC FIRST Bank,Bihar,ARARIA,854331
24,Vineet Kumar,6066418052,male,Karur Vysya Bank,Haryana,REWARI,123035
25,Vivek Kumar Mandal,2988530997,male,Kotak Mahindra Bank,Haryana,BHIWANI,127025
26,Arshika Jaiswal,2267024487,female,South Indian Bank,Andhra Pradesh,East Godavari,533251
27,Anant Kumar Singh,7273365032,male,RBL Bank,Haryana,SONIPAT,131022
28,Anshika Bhardwaj,5709086959,female,Nainital bank,Uttarakhand,PAURI GARHWAL,246001
29,Beauti Kumari,4957050702,male,Bank of Baroda,Haryana,KARNAL,132023
30,Deepanwita,1629935310,male,Bank of India,Bihar,KISHANGANJ,855115
31,Shilpa Priyadarshani,8818974098,female,Bank of Maharashtra,Bihar,SUPAUL,854338
32,Pramod Kashyap,2835507685,male,Canara Bank,Haryana,MAHENDRAGARH,123023
33,Saroj Kumar Yadav,8575606816,male,Central Bank of India,Bihar,KATIHAR,854115
34,Ritesh Kumar Chaubey,2186188041,female,Indian Bank,Bihar,KATIHAR,854107
35,Piyush Chaturvedi,1132719389,male,Indian Overseas Bank,Uttar Pradesh,AURAIYA,206251
36,Ashutosh Kumar Singh,3006239146,male,Punjab and Sind Bank,Bihar,SUPAUL,852109
37,Amarjeet Kumar Singh,7057862651,female,Tamilnad Mercantile Bank,Tamil Nadu,KRISHNAGIRI,635123
38,Akash Deep,6519977675,female,South Indian Bank,Kerala,IDUKKI,685535
39,Anshul Singh Bhadouriya,2341025355,female,UCO Bank,Haryana,HISAR,125005
40,Kumari Mamta Rani,4436648324,male,Union Bank of India,Uttar Pradesh,SONBHADRA,231219
41,Madhavi Kumari,6087131555,female,Axis Bank,Bihar,BEGUSARAI,851135
42,Madhuri Kumari,9285145776,female,Bandhan Bank,Bihar,KHAGARIA,851203
43,Deepali Lodhi,2563451440,male,CSB Bank,Uttar Pradesh,KANPUR NAGAR,208002
44,Md. Ariz Taukir Siddiki,8177686965,female,City Union Bank,Bihar,BHOJPUR,802312
45,Praveen Ranjan,7323153096,female,DCB Bank,West Bengal,PURULIYA,723129
46,Rishi Kumar,3881784424,female,Dhanlaxmi Bank,West Bengal,PURULIYA,723128
47,Sanjay Pal,8623749674,male,Federal Bank,West Bengal,PURULIYA,723127
48,Saurabh Raj Singh,2844233549,male,HDFC Bank,West Bengal,PURULIYA,723126
49,Sushant Kumar Singh,3043248242,male,ICICI Bank,West Bengal,PURULIYA,723121
50,Uttam Kumar Pathak,5578602265,male,South Indian Bank,Kerala,ERNAKULAM,682312
51,Vandana Sharma,3572015237,male,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632312
52,Aparna Dubey,7416417969,male,Tamilnad Mercantile Bank,Tamil Nadu,RAMANATHAPURAM,623120
53,Aman Kumar Arya,9235067708,female,South Indian Bank,Andhra Pradesh,SRIKAKULAM,532312
54,Mahee Dubey,3765129370,female,South Indian Bank,Andhra Pradesh,Guntur,522312
55,Sushil Kumar Yadav,6277747801,male,South Indian Bank,Telangana,SIDDIPET,502312
56,Vishwajeet Virottam,7153093447,male,YES Bank,Maharashtra,PUNE,412312
